epoch,accuracy,loss,mae,mse,val_accuracy,val_loss,val_mae,val_mse
0,0.9798599481582642,0.0036954914685338736,0.022095466032624245,0.0036954914685338736,0.9800776243209839,0.0036870629992336035,0.022181281819939613,0.0036870629992336035
1,0.9803341627120972,0.003649749793112278,0.021908428519964218,0.003649749793112278,0.9798098206520081,0.0036540019791573286,0.021910272538661957,0.0036540019791573286
2,0.9806481003761292,0.0036197835579514503,0.0217842236161232,0.0036197835579514503,0.9807228446006775,0.003638777881860733,0.021860776469111443,0.003638777881860733
3,0.9808708429336548,0.0035963940899819136,0.02168707177042961,0.0035963940899819136,0.9807818531990051,0.0036186736542731524,0.021632706746459007,0.0036186736542731524
4,0.9810923337936401,0.0035773178096860647,0.021606428548693657,0.0035773178096860647,0.9809104800224304,0.00360381999053061,0.02162734977900982,0.00360381999053061
5,0.98125159740448,0.0035616832319647074,0.021540075540542603,0.0035616832319647074,0.9809611439704895,0.0036031403578817844,0.02160116843879223,0.0036031403578817844
6,0.9813967347145081,0.0035479424986988306,0.02148030884563923,0.0035479424986988306,0.9814186692237854,0.003572969464585185,0.021490635350346565,0.003572969464585185
7,0.9815009832382202,0.003536958945915103,0.021434027701616287,0.003536958945915103,0.9814271330833435,0.0035618371330201626,0.02147139236330986,0.0035618371330201626
8,0.9816364645957947,0.0035258096177130938,0.021385617554187775,0.0035258096177130938,0.9813090562820435,0.0035703962203115225,0.02157137729227543,0.0035703962203115225
9,0.981688380241394,0.0035168714821338654,0.02135036513209343,0.0035168714821338654,0.9816569685935974,0.0035527569707483053,0.021411938592791557,0.0035527569707483053
10,0.981769323348999,0.0035087817814201117,0.021318037062883377,0.0035087817814201117,0.9815768599510193,0.0035498531069606543,0.02139011211693287,0.0035498531069606543
11,0.9818415641784668,0.003500825958326459,0.021286780014634132,0.003500825958326459,0.9817497730255127,0.003539878176525235,0.021344279870390892,0.003539878176525235
12,0.9819294810295105,0.0034940079785883427,0.021257296204566956,0.0034940079785883427,0.9815220236778259,0.0035340541508048773,0.021325958892703056,0.0035340541508048773
13,0.9819911122322083,0.0034874104894697666,0.021230541169643402,0.0034874104894697666,0.982028067111969,0.003525806125253439,0.021238980814814568,0.003525806125253439
14,0.9820119142532349,0.003481190884485841,0.02120300568640232,0.003481190884485841,0.9817329049110413,0.0035268468782305717,0.02137945406138897,0.0035268468782305717
15,0.9820790886878967,0.0034758979454636574,0.02118217945098877,0.0034758979454636574,0.9823085069656372,0.003517335280776024,0.021207325160503387,0.003517335280776024
16,0.9821650981903076,0.00347011536359787,0.021157536655664444,0.00347011536359787,0.9818193316459656,0.003529168898239732,0.021309277042746544,0.003529168898239732
17,0.9822062253952026,0.0034652245230972767,0.02113848365843296,0.0034652245230972767,0.9821187853813171,0.0035276052076369524,0.02130807749927044,0.0035276052076369524
0,0.9823044538497925,0.0034747468307614326,0.021119197830557823,0.0034747468307614326,0.9822874665260315,0.0034894829150289297,0.021152548491954803,0.0034894829150289297
1,0.9823077917098999,0.0034696941729635,0.021116700023412704,0.0034696941729635,0.9811066389083862,0.003488705027848482,0.021227389574050903,0.0034887047950178385
2,0.9823683500289917,0.003462646622210741,0.021091796457767487,0.003462646622210741,0.9823253750801086,0.003478031139820814,0.021179184317588806,0.003478031139820814
3,0.9823896884918213,0.0034572146832942963,0.02107345685362816,0.0034572146832942963,0.9824476838111877,0.0034678750671446323,0.021103758364915848,0.0034678750671446323
4,0.982505202293396,0.0034518102183938026,0.021056843921542168,0.0034518102183938026,0.9820765852928162,0.0034638005308806896,0.02113277092576027,0.0034638005308806896
5,0.9825114607810974,0.0034474602434784174,0.0210422333329916,0.0034474602434784174,0.9829390048980713,0.0034552994184195995,0.021047260612249374,0.0034552994184195995
6,0.9825259447097778,0.0034436648711562157,0.021029392257332802,0.0034436648711562157,0.9824476838111877,0.0034592680167406797,0.02108098194003105,0.0034592680167406797
7,0.9825940132141113,0.0034391474910080433,0.021015040576457977,0.0034391474910080433,0.9824371337890625,0.0034638496581465006,0.02104603499174118,0.0034638496581465006
8,0.9826225638389587,0.003435850376263261,0.02100512757897377,0.003435850376263261,0.9823718070983887,0.0034579969942569733,0.021079543977975845,0.0034579969942569733
9,0.9826774597167969,0.0034317118115723133,0.020990168675780296,0.0034317118115723133,0.9826712012290955,0.003459306200966239,0.021088050678372383,0.003459306200966239
10,0.9826619625091553,0.0034283255226910114,0.02098228596150875,0.0034283255226910114,0.9828040599822998,0.003442629473283887,0.021025441586971283,0.003442629473283887
11,0.9827333092689514,0.0034255185164511204,0.02097472734749317,0.0034255185164511204,0.9822705984115601,0.0034579127095639706,0.02105012536048889,0.0034579127095639706
12,0.9827099442481995,0.0034225627314299345,0.02096763253211975,0.0034225627314299345,0.9827914237976074,0.003464982146397233,0.02115034870803356,0.003464982146397233
13,0.9827432632446289,0.0034191864542663097,0.02095712162554264,0.0034191864542663097,0.981950044631958,0.0034666545689105988,0.02105584740638733,0.0034666545689105988
14,0.9827712774276733,0.0034163182135671377,0.02094968780875206,0.0034163182135671377,0.9828483462333679,0.0034519543405622244,0.021097596734762192,0.0034519543405622244
15,0.9828119874000549,0.0034136949107050896,0.0209429319947958,0.0034136949107050896,0.9828799962997437,0.0034404390025883913,0.021044543012976646,0.0034404390025883913
16,0.9828358888626099,0.003411260899156332,0.020938852801918983,0.003411260899156332,0.982110321521759,0.0034519692417234182,0.02105281874537468,0.0034519692417234182
17,0.9828610420227051,0.003408378455787897,0.020928354933857918,0.003408378455787897,0.9828230142593384,0.003460583509877324,0.021047990769147873,0.003460583509877324
