epoch,accuracy,loss,mae,mse,val_accuracy,val_loss,val_mae,val_mse
0,0.980147123336792,0.003663166891783476,0.021901056170463562,0.003663166891783476,0.980231523513794,0.0036397704388946295,0.021896613761782646,0.0036397704388946295
1,0.9804850816726685,0.0036217309534549713,0.021722324192523956,0.0036217309534549713,0.9810518026351929,0.0036106740590184927,0.02167641371488571,0.0036106740590184927
2,0.9806990623474121,0.0035938327200710773,0.021604886278510094,0.0035938327200710773,0.9809315800666809,0.0035770265385508537,0.02156745456159115,0.0035770265385508537
3,0.9808589816093445,0.0035730451345443726,0.021514784544706345,0.0035730451345443726,0.9807312488555908,0.0035854894667863846,0.021583257243037224,0.0035854894667863846
4,0.9810115098953247,0.0035561632830649614,0.021445050835609436,0.0035561632830649614,0.9808071851730347,0.003559191944077611,0.021530048921704292,0.003559191944077611
5,0.9811075925827026,0.003541919868439436,0.02138676308095455,0.003541919868439436,0.9807165265083313,0.003539108904078603,0.021376417949795723,0.003539108904078603
6,0.9811992645263672,0.00352990604005754,0.021336544305086136,0.00352990604005754,0.9807882308959961,0.003523244522511959,0.021313412114977837,0.003523244522511959
7,0.9813337326049805,0.0035192491486668587,0.02129250578582287,0.0035192491486668587,0.9811087250709534,0.003525466425344348,0.02137097343802452,0.003525466425344348
8,0.9813982248306274,0.003509201342239976,0.021249130368232727,0.003509201342239976,0.9815177917480469,0.003515372285619378,0.02129577100276947,0.003515372285619378
9,0.9815381765365601,0.0035010934807360172,0.021216046065092087,0.0035010934807360172,0.9806469082832336,0.003516640979796648,0.021348997950553894,0.003516640979796648
10,0.9815464019775391,0.0034933858551084995,0.021184556186199188,0.0034933858551084995,0.9815874099731445,0.0034891359973698854,0.021186046302318573,0.0034891359973698854
11,0.9816279411315918,0.0034865743946284056,0.021158063784241676,0.0034865743946284056,0.9807987809181213,0.0035296243149787188,0.021463816985487938,0.0035296243149787188
12,0.9817087054252625,0.003479514503851533,0.02113121934235096,0.003479514503851533,0.9816063642501831,0.003502230392768979,0.02125442773103714,0.003502230392768979
13,0.9817680716514587,0.003473494900390506,0.02110535465180874,0.003473494900390506,0.9816169142723083,0.0034841084852814674,0.021155960857868195,0.0034841084852814674
14,0.981802761554718,0.0034673104528337717,0.021080439910292625,0.0034673104528337717,0.9817855954170227,0.003477530786767602,0.02118757739663124,0.003477530786767602
15,0.9818763732910156,0.0034625602420419455,0.021065955981612206,0.0034625602420419455,0.9818804860115051,0.0034851047676056623,0.02116699144244194,0.0034851047676056623
16,0.9819851517677307,0.0034572561271488667,0.021045397967100143,0.0034572561271488667,0.9808240532875061,0.0034918105229735374,0.021154828369617462,0.0034918105229735374
17,0.981974184513092,0.003453075187280774,0.02102780155837536,0.003453075187280774,0.9813976287841797,0.0034916813019663095,0.021217091009020805,0.0034916813019663095
