output_idx,MAE,RMSE,R2
0,0.0011817853739303013,0.0040368242187759,0.9367905424604035
1,0.0016935196826672449,0.0074027353356583845,0.9535510779618178
2,0.003613005552069532,0.00890799700864898,0.9783285206678948
3,0.00823902737865767,0.01440396908473579,0.9882460105536545
4,0.015676564026049153,0.023670029927803798,0.995751393635819
5,0.025045240537172653,0.03597476380975163,0.9973313666069094
6,0.02266708774570887,0.03214650711929099,0.9989294170980275
7,0.025249789855476757,0.036513128175921235,0.9989929872526605
8,0.036213080269553104,0.056123711481214394,0.9971582043387034
9,0.05696239938259323,0.08728921250859012,0.9931044569328789
10,0.06929092595207308,0.10281255282461658,0.9900961662778318
11,0.08177865329458023,0.11621234900236076,0.9877762503440358
12,0.09813843469763854,0.13493524599673487,0.983876066084302
13,0.11549726137090395,0.15521915039858167,0.976835148275654
14,0.13296948257811633,0.1781537237422327,0.9584109830743898
15,0.14036736941838238,0.19572953359514886,0.9343428749927859
16,0.17956849781783427,0.3084163263234127,0.8304954532330351
17,0.34625235605568166,0.680617900323055,0.5078217021406485
18,0.63559258643468,1.2784530101936393,0.3153513245492932
19,0.9043007734084275,1.7783093381303647,0.28905154757466034
20,0.9598948152796213,1.9632719004022914,0.3462995001808588
21,1.0329008467028855,2.1668290838648705,0.3805610855925304
22,1.1447629273273063,2.3809454775261303,0.426269411955837
23,1.2718652855217596,2.583553397688041,0.46476191054924837
24,1.4297760191580302,2.8373241833245664,0.5125191777642661
25,1.5781550255456291,3.0587026761697924,0.5541796587345135
26,1.730664040104406,3.2835428918196716,0.596284927328199
27,1.907717944399548,3.5719319431221703,0.6372474441252892
28,2.1210607025055253,3.965373421930748,0.6676168859555188
29,2.379603992493968,4.489108778370972,0.6859591857361576
30,2.6888355023479487,5.136371949973495,0.6948269971470681
31,3.028965545080722,5.8838959215921705,0.6965065232823084
32,3.382846965985997,6.631856002635346,0.6922710495942416
33,3.7536205640888745,7.394806064174749,0.6825061129251235
34,4.166598786025986,8.170639350619426,0.6680000675797234
35,4.565555905320927,8.88868754189563,0.6510364602549011
36,4.969080292356144,9.49704560389002,0.6295738172135251
37,5.31350637499177,10.018840773182951,0.601885556286261
38,5.579729354645566,10.300521733702091,0.5740898180190371
39,5.794083766142954,10.413811080368015,0.5450994905971748
40,5.918667639113518,10.398998125943058,0.5152377394547439
41,5.987554381422437,10.255238412732089,0.4841609745383841
42,6.049008162144571,10.019293907791456,0.45921236709700053
43,6.1015006285003075,9.798719397786178,0.4380681558899733
44,6.1093455091995,9.566016079479853,0.4236287590178227
45,6.0657899983653225,9.266938260804283,0.41133942501242654
46,5.909963209259157,8.8419698402764,0.39838747448812506
47,5.646779270053102,8.320590712162046,0.3844634634553285
48,5.281677226318106,7.701034297728747,0.37660541293502336
49,4.876295784652045,7.062271322608723,0.3695897047775774
50,4.485443672277082,6.472671257926603,0.36930784344084805
51,4.123003851384868,5.951618541282677,0.3706479320285414
52,3.8118917387439737,5.524319625055639,0.3717580952122634
53,3.5544900953718908,5.190353546632934,0.3742007447434202
54,3.345350136560247,4.94451218258608,0.3726408103745666
55,3.1808440258543933,4.779011435683537,0.3761435186053341
56,3.0767821738755177,4.712208179382186,0.38631196500139514
57,3.0580409561810136,4.77251540473191,0.3936975024339411
58,3.161479567365505,4.992858011842691,0.42542456549455837
59,3.6816355752266268,5.702829334438242,0.6150462957477824
60,3.7258714977690545e-05,6.435891371868516e-05,-inf
61,0.00013477695636146067,0.000170559244135715,-inf
62,0.00020723927233474513,0.0002555177371667439,-inf
63,0.000465865603034465,0.0005437100690279195,-inf
64,0.0007375177416787315,0.0008829648365225925,-inf
65,0.0012937032972942287,0.001524817180304158,-inf
66,0.0017841131061615383,0.002196232740876275,-inf
67,0.0020798306769505477,0.0025754055562777927,-inf
68,0.0019728772308378662,0.0025914534185781644,-inf
69,0.002648502788203333,0.0034649612933478784,-inf
70,0.0030798998590014816,0.00418357153872733,-inf
71,0.004309857672521966,0.00580720270073502,-inf
72,0.004977938816123303,0.0072100595413593606,-2520406.8370535597
73,0.006465470196829799,0.009432438726717014,-1019105.9176018141
74,0.007989530321701592,0.0117216347568485,-211832.73223818978
75,0.009599076741738927,0.01440565356591045,-70025.12343843636
76,0.010808610684127223,0.016627603451158823,-28260.83931542313
77,0.011954670677585572,0.01794968113144711,-719.9098885480183
78,0.014550289009878157,0.02259918627002233,-54.72119963367552
79,0.0193932471350409,0.03487446533705769,-21.89383894429015
80,0.030130660014201862,0.06547089797212928,-3.181505017506705
81,0.0550347052591629,0.12884764676548843,-0.7852091343177815
82,0.10465411427658644,0.25378621703999277,0.06363848676488586
83,0.18660057031881963,0.43803388554547357,0.3006536982280538
