output_idx,MAE,RMSE,R2
0,0.0029110590943214436,0.007718069348218424,0.8025080422586331
1,0.002329935930223122,0.008129813846025399,0.9483256798540306
2,0.004642214929343243,0.009602255205337383,0.9767717939010954
3,0.00636801310130299,0.010443816231351953,0.9918065314988139
4,0.010196366152447742,0.013531252436087065,0.9987128383438656
5,0.01518787511948883,0.02066853716092073,0.9991954627054108
6,0.019840467458328463,0.027082711689806093,0.9993670291945139
7,0.02560407467223863,0.036742763877515044,0.9990378888471856
8,0.033434041232052104,0.04848098469803915,0.9981112980728679
9,0.052544917276473056,0.06959790256164877,0.9965641740159853
10,0.05740678089160428,0.07732953215382293,0.9956701918099177
11,0.05713340372153625,0.08012998644441809,0.9950798422121171
12,0.061411802926381015,0.08406275837976539,0.9942708690988148
13,0.0722287615613654,0.09478899300556605,0.9915667075613702
14,0.0903257807207997,0.11380973508479543,0.9828983240353897
15,0.08665366604684129,0.12792851516557693,0.9710532279731533
16,0.15028464635332303,0.2741619369246444,0.8570907665118354
17,0.3401018396556618,0.6746775081372292,0.5120606221267379
18,0.6678571926874298,1.323106877348215,0.27689630182558184
19,0.9404044114734621,1.878770660210155,0.2492858300723565
20,1.0412123662439352,2.123186050953957,0.28467490301518594
21,1.1454326986459205,2.3635090740152993,0.31421329346931437
22,1.2762050278652517,2.641743153917227,0.35827077818225356
23,1.432252357486836,2.923014935815338,0.3914371871969238
24,1.6407034193552594,3.300196208160024,0.4252433924063688
25,1.8220323094134538,3.608865310602564,0.4639452943766378
26,1.9991690829745046,3.9042202529142664,0.5062339047164742
27,2.197165523245124,4.262265626773775,0.5463483251803981
28,2.436048183656963,4.7263496086590004,0.5737496932098253
29,2.729938052459523,5.327634249260611,0.5930067471615109
30,3.082791805255645,6.068155222463069,0.6034096766515241
31,3.4539890606513546,6.874724542185052,0.6103106255650793
32,3.8575703063842575,7.695271095307656,0.6070016439146794
33,4.262599605734295,8.52314559683923,0.59620545412531
34,4.6932417111537035,9.346429337519057,0.5837499434260959
35,5.112341338345273,10.069197763671385,0.5679980454158705
36,5.512190165293712,10.685890064826888,0.5443745502178521
37,5.862603938756579,11.140742768467666,0.5203091551390906
38,6.1181975947341245,11.342823948883336,0.4959477108158515
39,6.312944383193948,11.416364947853888,0.46683108339846996
40,6.432736713719737,11.334836969426297,0.4362456916008958
41,6.492975013146182,11.092915292618782,0.4072677437525068
42,6.537447754317971,10.830931005915716,0.37982705776314596
43,6.587339538517159,10.572250048064799,0.35689208113532334
44,6.629195129217368,10.31874924186699,0.3389137532811091
45,6.583807849672442,9.974183642155731,0.3265697432573545
46,6.409861828312253,9.49933246604174,0.31263231530716545
47,6.11213857600834,8.917720571578238,0.29887281325799286
48,5.703136385896596,8.248882403593555,0.28979679004697395
49,5.246667634642667,7.5428799221169776,0.28607626538536995
50,4.829407114226657,6.9241696156845265,0.28426463758866677
51,4.4401594091870455,6.361194367840949,0.2872678014811391
52,4.102887435436897,5.900048706208867,0.29094373568465076
53,3.839450872911419,5.564225913468452,0.28878938856812925
54,3.6291545935461484,5.3209369802165325,0.2802321373874938
55,3.48008110676996,5.1807198388500115,0.2713464875415112
56,3.4053579510589653,5.14540497715281,0.2729261521866356
57,3.4075971984382996,5.196290768359007,0.28376158143382924
58,3.5902408389477567,5.468858358917608,0.3146932107027756
59,4.542193195545877,6.761833648747614,0.454596722375314
60,3.852389710766533e-05,4.915339372203248e-05,-inf
61,7.439349688614524e-05,8.53774037884831e-05,-inf
62,0.00011671011945694534,0.00014138793779368223,-inf
63,0.002777481780156276,0.0028529716061572535,-inf
64,0.00028205196161786825,0.0003775216931226875,-inf
65,0.0006616216385602792,0.0007941864430685938,-inf
66,0.0007030477433116537,0.0009142114891791271,-inf
67,0.0011704784566191999,0.0015608585123656736,-inf
68,0.0022158588276168898,0.002690133614608557,-inf
69,0.0027635260790826546,0.003211564902533092,-inf
70,0.011177435956725332,0.011545072533043895,-inf
71,0.002049279276789161,0.0027058801759055986,-inf
72,0.006015563048519506,0.00814014388219761,-3903176.9321819837
73,0.013651183470437539,0.015366655820224168,-4349002.557428998
74,0.01242281716549218,0.013579802320528349,-207841.1512807441
75,0.009547026301557536,0.013142298776324793,-47017.17902830532
76,0.024480935493009184,0.03078122334525614,-63079.00308057788
77,0.007853700569706405,0.011454016027592344,-345.7455091935796
78,0.02188605442271172,0.02827582765137557,-97.86416868198091
79,0.014687138998084206,0.030765238640441422,-12.15544051098236
80,0.02635261618456743,0.06266027324983688,-1.215919745808822
81,0.05945063201885515,0.13230519334232846,-1.2098260158974197
82,0.11085084554559878,0.2639309131386433,0.11438739371868349
83,0.212187637786264,0.476055175481179,-0.03236359354865026
84,0.35775533309815266,0.7925789030246282,0.0012004689722248478
85,0.5750091865862395,1.2146710724399126,-0.8964236753211265
86,0.7579482604725261,1.660596667874563,0.5185844032831356
87,1.0065762783201773,2.1838887006643763,0.5338884488128982
88,1.2853742615317574,2.7858903735907803,0.5495932281963617
89,1.6176299750199792,3.4913721435783684,0.5199910748719527
90,2.016188137372301,4.326168044536351,0.5566825027269761
91,2.4895056732892304,5.313384018222756,0.5378895872205133
92,3.0409029910526875,6.4717502540501854,0.4903231738964904
93,3.662375119157657,7.755516854968903,0.4714413337936227
94,4.386073083603272,9.202916290433675,0.4428346489970975
95,5.219180969575716,10.791136193781922,0.40535599791528565
96,6.153056292161005,12.550662153663344,0.36663839282599575
97,7.148530168564862,14.368121403391287,0.3299178061218689
98,8.203067861076919,16.14874051033607,0.2851831844177183
99,9.234509138148024,17.81820029584903,0.2574562819405604
