output_idx,MAE,RMSE,R2
0,0.0008628021249422981,0.004766117711460933,0.9112588720185117
1,0.0018185854104769536,0.007690520087232508,0.9509069746565778
2,0.0026536741698328817,0.007622948330375413,0.9804551401591804
3,0.004888470657443343,0.008932837451202878,0.9925711536382337
4,0.009087066722411987,0.012502096533849802,0.9988713005274613
5,0.014960727951450597,0.02094011907655231,0.9991462146556648
6,0.020310889646311853,0.028199670022634488,0.9992397045891378
7,0.026367422433050475,0.03766893092843193,0.9989799848735285
8,0.03013707611210888,0.04410422163002714,0.9983918471321106
9,0.037692997938867864,0.05530623928638303,0.9977265250934192
10,0.0448398672522839,0.06481639965689784,0.9969716310957578
11,0.049237581572140976,0.07078993674718224,0.9964986262489886
12,0.05488491504409787,0.07717724375751832,0.9953996819704708
13,0.06027226408572133,0.08215828879752889,0.9937773003314309
14,0.0635649163951497,0.0861456701296293,0.9905678813197517
15,0.07419728573167607,0.1140162041707944,0.9768935886671845
16,0.1253825205163479,0.2566461700095895,0.8732203801231382
17,0.30409840890087875,0.6462236226974122,0.5573188137629957
18,0.6089994843793974,1.2722924426819577,0.3435002266573585
19,0.9020911114139668,1.8364832209482893,0.2850076190561142
20,0.9874498522957076,2.076955192208848,0.3161812564825959
21,1.0770903666905667,2.3196385946408635,0.3440563383988568
22,1.2045486956076696,2.597511339747987,0.38253504507111696
23,1.3535016000995697,2.8693197125974943,0.41451895769555236
24,1.5273028288620596,3.2107634859859657,0.45679258763324654
25,1.701148938178508,3.509207767512874,0.4946745485962296
26,1.8804098717456714,3.818262364853806,0.5292463240479724
27,2.0872202606396217,4.186697063931039,0.5645908476757118
28,2.3201090193788705,4.637434396187646,0.5915177758153456
29,2.6078953571915413,5.215706794472206,0.612081150666126
30,2.9381040914269954,5.9311913938133465,0.6257486813122001
31,3.309045116121832,6.703154280874789,0.6319533120453499
32,3.6855975900261324,7.5276682171330735,0.626131960074718
33,4.060565807853382,8.300484032963388,0.6191691820122855
34,4.463985583990023,9.086422193324509,0.6075217538994022
35,4.85435501756247,9.782146447633032,0.5914841428867509
36,5.240675445796997,10.390046431745306,0.5692999848916407
37,5.58852515436255,10.864235238619122,0.5440290628048845
38,5.860682762081055,11.096439813610983,0.517492507909922
39,6.0759449923920075,11.18756290604228,0.48753873420170946
40,6.209147137676577,11.139278536843895,0.45578295909275895
41,6.28510029668963,10.917927937390424,0.42692336061457636
42,6.358253002807156,10.633738269016927,0.40253994372391527
43,6.402997733753284,10.364288246071974,0.3833560469423305
44,6.423235432769165,10.099531338531198,0.3691415207305599
45,6.369039650960878,9.772541126261933,0.35630249708997064
46,6.197188080803939,9.302637049367403,0.34376204856879616
47,5.929298884133199,8.754721456264976,0.32799292527343166
48,5.550369080033384,8.117587320154895,0.31663896492747856
49,5.117325016811208,7.437699572407964,0.309755100032225
50,4.716798917045099,6.832478691912216,0.3064321890680087
51,4.335612169228747,6.279715528602336,0.30845934242157164
52,4.010934417498674,5.834212263215407,0.3091112771536294
53,3.743937823266483,5.501066507083958,0.30732278550092973
54,3.5306887986756053,5.256795903462475,0.3007957411428432
