epoch,accuracy,loss,mae,mse,val_accuracy,val_loss,val_mae,val_mse
0,0.9802060723304749,0.003665732452645898,0.021867811679840088,0.003665732452645898,0.9802209734916687,0.0036544546019285917,0.021833965554833412,0.0036544546019285917
1,0.9805664420127869,0.003624088130891323,0.021699195727705956,0.003624088130891323,0.9806405901908875,0.003623922588303685,0.021729761734604836,0.0036239218898117542
2,0.9807331562042236,0.0035962851252406836,0.021587757393717766,0.0035962851252406836,0.9800944924354553,0.003595203161239624,0.021611006930470467,0.003595203161239624
3,0.9809600710868835,0.003575171809643507,0.021503549069166183,0.003575171809643507,0.9809442758560181,0.003591927932575345,0.02153429202735424,0.003591927932575345
4,0.9811226725578308,0.0035586797166615725,0.021438563242554665,0.0035586797166615725,0.981131911277771,0.0035633263178169727,0.02143934555351734,0.0035633263178169727
5,0.9811853170394897,0.003544814884662628,0.021383536979556084,0.003544814884662628,0.9803727865219116,0.0035712451208382845,0.02148623578250408,0.0035712451208382845
6,0.981315016746521,0.0035327537916600704,0.02133607305586338,0.0035327537916600704,0.9795441031455994,0.0035635987296700478,0.021425040438771248,0.0035635987296700478
7,0.9813597798347473,0.0035224570892751217,0.021292999386787415,0.0035224570892751217,0.9814545512199402,0.003546596271917224,0.021365121006965637,0.003546596271917224
8,0.9814361929893494,0.0035129189491271973,0.021259788423776627,0.0035129189491271973,0.9808831214904785,0.003539113560691476,0.021346360445022583,0.003539113560691476
9,0.9815076589584351,0.0035048439167439938,0.021227091550827026,0.0035048439167439938,0.9808325171470642,0.0035576035734266043,0.02162223309278488,0.0035576035734266043
10,0.981536865234375,0.0034974270965903997,0.021199766546487808,0.0034974270965903997,0.9818130135536194,0.003521075937896967,0.021290192380547523,0.003521075937896967
11,0.9816621541976929,0.0034904065541923046,0.021172232925891876,0.0034904065541923046,0.9812015295028687,0.003522098297253251,0.021319059655070305,0.003522098297253251
12,0.9816714525222778,0.0034832207020372152,0.021146316081285477,0.0034832207020372152,0.9817813634872437,0.003515157848596573,0.021190281957387924,0.003515157848596573
13,0.9817260503768921,0.003478061407804489,0.021127495914697647,0.003478061407804489,0.981793999671936,0.003518021432682872,0.021263722330331802,0.003518021432682872
14,0.9817802309989929,0.00347240106202662,0.021106328815221786,0.00347240106202662,0.980619490146637,0.003496446181088686,0.021120043471455574,0.003496446181088686
15,0.9817933440208435,0.0034674915950745344,0.021090449765324593,0.0034674915950745344,0.9813638925552368,0.0034994634333997965,0.021140478551387787,0.0034994634333997965
16,0.9818717241287231,0.003462259890511632,0.02107062190771103,0.003462259890511632,0.9818404316902161,0.0034977500326931477,0.021182911470532417,0.0034977500326931477
17,0.981904923915863,0.0034578011836856604,0.02105727605521679,0.0034578011836856604,0.9818657040596008,0.0034915164578706026,0.0212118998169899,0.0034915164578706026
0,0.9816772937774658,0.003483658190816641,0.021115077659487724,0.003483658190816641,0.9817265272140503,0.003503285814076662,0.021088605746626854,0.003503285814076662
1,0.9818841814994812,0.0034654224291443825,0.02104014903306961,0.0034654224291443825,0.9816105961799622,0.0034996240865439177,0.021130939945578575,0.0034996240865439177
2,0.9819515943527222,0.0034584072418510914,0.021016862243413925,0.0034584072418510914,0.9813090562820435,0.0035308427177369595,0.02140767313539982,0.0035308427177369595
3,0.9819887280464172,0.0034526593517512083,0.020998749881982803,0.0034526593517512083,0.9819290041923523,0.0034970506094396114,0.02114734798669815,0.003497050842270255
4,0.9820247888565063,0.0034471687395125628,0.020983334630727768,0.0034471687395125628,0.9807860851287842,0.0034947763197124004,0.021174347028136253,0.0034947763197124004
5,0.9820862412452698,0.003442386630922556,0.02096792869269848,0.003442386630922556,0.9816738367080688,0.0034859480801969767,0.021050646901130676,0.0034859480801969767
6,0.9821431040763855,0.0034383703023195267,0.02095501683652401,0.0034383703023195267,0.9805035591125488,0.003499602898955345,0.021113885566592216,0.003499602898955345
7,0.9821719527244568,0.003434414742514491,0.020942816510796547,0.003434414742514491,0.9819816946983337,0.00348339113406837,0.02111031860113144,0.00348339113406837
8,0.9821807742118835,0.003429969074204564,0.020926538854837418,0.003429969074204564,0.9819521903991699,0.0034858551807701588,0.021030420437455177,0.0034858551807701588
9,0.9822354912757874,0.0034267513547092676,0.02091965638101101,0.0034267513547092676,0.9815831780433655,0.0034771549981087446,0.021001486107707024,0.0034771549981087446
10,0.9822853207588196,0.003423074260354042,0.02090616524219513,0.003423074260354042,0.9809315800666809,0.0034911336842924356,0.021208854392170906,0.0034911336842924356
11,0.9823464751243591,0.0034197811037302017,0.020897669717669487,0.0034197811037302017,0.9819816946983337,0.0034880193416029215,0.02109847404062748,0.0034880193416029215
12,0.9823539853096008,0.003416666993871331,0.020886920392513275,0.003416666993871331,0.9820786714553833,0.0034961088094860315,0.02117857336997986,0.0034961088094860315
13,0.9823847413063049,0.0034137475304305553,0.020878897979855537,0.0034137475304305553,0.9823929071426392,0.003474719123914838,0.021068617701530457,0.003474719123914838
14,0.98241126537323,0.003410573583096266,0.02087043784558773,0.003410573583096266,0.9820175170898438,0.003479079809039831,0.02115708775818348,0.003479079809039831
15,0.9824459552764893,0.003408156568184495,0.020863793790340424,0.003408156568184495,0.9820997714996338,0.0034859010484069586,0.021112853661179543,0.0034859010484069586
16,0.982456386089325,0.003405254567041993,0.020854003727436066,0.003405254567041993,0.9817096590995789,0.0034799377899616957,0.02111288718879223,0.0034799377899616957
17,0.9825027585029602,0.0034029120579361916,0.020848171785473824,0.0034029120579361916,0.9821187853813171,0.0034774255473166704,0.021059449762105942,0.0034774255473166704
0,0.982144832611084,0.0034394054673612118,0.020945953205227852,0.0034394054673612118,0.9813575148582458,0.0034798739943653345,0.021011417731642723,0.0034798739943653345
1,0.9823356866836548,0.0034231680911034346,0.020877458155155182,0.0034231680911034346,0.9822031259536743,0.0034647234715521336,0.021024860441684723,0.0034647234715521336
2,0.9823623299598694,0.0034177550114691257,0.020862286910414696,0.0034177550114691257,0.9822326302528381,0.0034631199669092894,0.020960817113518715,0.0034631199669092894
3,0.9823985695838928,0.0034130706917494535,0.02084771916270256,0.0034130706917494535,0.9821651577949524,0.0034524572547525167,0.02091898024082184,0.0034524572547525167
4,0.9824532866477966,0.003409334924072027,0.020840398967266083,0.003409334924072027,0.9824645519256592,0.0034594666212797165,0.02101602777838707,0.0034594666212797165
5,0.9824598431587219,0.003405821043998003,0.02082936279475689,0.003405821043998003,0.9816907048225403,0.0034679409582167864,0.021009329706430435,0.0034679409582167864
6,0.982486367225647,0.003402379108592868,0.02081950753927231,0.003402379108592868,0.9824919700622559,0.003464348614215851,0.020957622677087784,0.003464348614215851
7,0.9825149178504944,0.0033995676785707474,0.020812252536416054,0.0033995676785707474,0.9816738367080688,0.0034738427493721247,0.021031513810157776,0.0034738427493721247
8,0.9825289845466614,0.0033965855836868286,0.02080264315009117,0.0033965855836868286,0.9820070266723633,0.0034581017680466175,0.02100411243736744,0.0034581017680466175
9,0.9825729727745056,0.003393462859094143,0.02079438604414463,0.003393462859094143,0.9823507070541382,0.00345443794503808,0.020941052585840225,0.00345443794503808
10,0.9825838208198547,0.0033914041705429554,0.02078964188694954,0.0033914041705429554,0.9823760390281677,0.003458532504737377,0.021033650264143944,0.003458532504737377
11,0.9826387166976929,0.0033885922748595476,0.020779959857463837,0.0033885922748595476,0.982458233833313,0.003463568165898323,0.021091042086482048,0.003463568165898323
