epoch,accuracy,loss,mae,mse,val_accuracy,val_loss,val_mae,val_mse
0,0.9799932241439819,0.0037197284400463104,0.022182663902640343,0.0037197284400463104,0.9802610278129578,0.003723324742168188,0.02227802574634552,0.003723324742168188
1,0.9804196953773499,0.003672055434435606,0.021972112357616425,0.003672055434435606,0.9808050990104675,0.003691252786666155,0.02207554690539837,0.003691252786666155
2,0.9807542562484741,0.0036397313233464956,0.02182694524526596,0.0036397313233464956,0.9810264706611633,0.0036507067270576954,0.021921345964074135,0.0036507067270576954
3,0.9809535145759583,0.003614668967202306,0.021716102957725525,0.003614668967202306,0.9812605381011963,0.0036430282052606344,0.021871192380785942,0.0036430282052606344
4,0.9811143279075623,0.003594840643927455,0.0216290894895792,0.003594840643927455,0.9815325736999512,0.003613759996369481,0.021678268909454346,0.003613759996369481
5,0.9813469052314758,0.0035776812583208084,0.021553928032517433,0.0035776812583208084,0.9818488359451294,0.003603394143283367,0.021644918248057365,0.003603394143283367
6,0.9814718961715698,0.003563095349818468,0.021488461643457413,0.003563095349818468,0.9818108677864075,0.0035908916033804417,0.021573828533291817,0.003590891370549798
7,0.9815519452095032,0.003551270579919219,0.021441923454403877,0.003551270579919219,0.9817138910293579,0.003586539765819907,0.02156800776720047,0.003586539765819907
8,0.9817058444023132,0.0035386993549764156,0.021385930478572845,0.0035386993549764156,0.9820955395698547,0.0035671014338731766,0.021452706307172775,0.0035671014338731766
9,0.9818086624145508,0.0035284291952848434,0.021345872431993484,0.0035284291952848434,0.9825067520141602,0.003560673911124468,0.02150804176926613,0.003560673911124468
10,0.9818914532661438,0.0035183983854949474,0.021301493048667908,0.0035183983854949474,0.981956422328949,0.003552099922671914,0.02146577648818493,0.003552099922671914
11,0.9820160865783691,0.003508823225274682,0.021259985864162445,0.003508823225274682,0.9820048809051514,0.003534198272973299,0.021354349330067635,0.003534198272973299
12,0.982062041759491,0.003500634804368019,0.021225109696388245,0.003500634804368019,0.9821672439575195,0.0035613789223134518,0.021536163985729218,0.0035613789223134518
13,0.9821410179138184,0.0034932338166981936,0.02119215577840805,0.0034932338166981936,0.9824540615081787,0.003531483467668295,0.021357771009206772,0.003531483467668295
14,0.9822074174880981,0.003486305009573698,0.021160878241062164,0.003486305009573698,0.9826691150665283,0.0035246931947767735,0.021289343014359474,0.0035246931947767735
15,0.9823113679885864,0.003479234641417861,0.021132230758666992,0.003479234641417861,0.9825742244720459,0.0035373405553400517,0.021356819197535515,0.0035373405553400517
16,0.9823697805404663,0.003472832962870598,0.021107589825987816,0.003472832962870598,0.9820786714553833,0.0035234163515269756,0.021236944943666458,0.0035234163515269756
17,0.9824332594871521,0.003467199159786105,0.021086247637867928,0.003467199159786105,0.9823886752128601,0.0035184116568416357,0.021340060979127884,0.0035184116568416357
